dataset,column,dtype
prices.parquet,date,datetime64[ns]
prices.parquet,ticker,object
prices.parquet,adj_close,float32
prices.parquet,volume,Int64
prices.parquet,name,string
prices.parquet,sector,category
returns.parquet,date,datetime64[ns]
returns.parquet,ticker,object
returns.parquet,log_return,float32
returns.parquet,r_1d,float32
returns.parquet,weekday,int8
returns.parquet,month,int8
features_v1.parquet,date,datetime64[ns]
features_v1.parquet,ticker,category
features_v1.parquet,log_return,float32
features_v1.parquet,r_1d,float32
features_v1.parquet,weekday,int8
features_v1.parquet,month,int8
features_v1.parquet,lag1,float32
features_v1.parquet,lag2,float32
features_v1.parquet,lag3,float32
features_v1.parquet,roll_mean_20,float32
features_v1.parquet,roll_std_20,float32
features_v1.parquet,zscore_20,float32
features_v1.parquet,ewm_mean_20,float32
features_v1.parquet,ewm_std_20,float32
features_v1.parquet,exp_mean,float32
features_v1.parquet,exp_std,float32
features_v1.parquet,adj_close,float32
features_v1.parquet,volume,Int64
features_v1_ext.parquet,date,datetime64[ns]
features_v1_ext.parquet,ticker,category
features_v1_ext.parquet,log_return,float32
features_v1_ext.parquet,r_1d,float32
features_v1_ext.parquet,weekday,int8
features_v1_ext.parquet,month,int8
features_v1_ext.parquet,lag1,float32
features_v1_ext.parquet,lag2,float32
features_v1_ext.parquet,lag3,float32
features_v1_ext.parquet,roll_mean_20,float32
features_v1_ext.parquet,roll_std_20,float32
features_v1_ext.parquet,zscore_20,float32
features_v1_ext.parquet,ewm_mean_20,float32
features_v1_ext.parquet,ewm_std_20,float32
features_v1_ext.parquet,exp_mean,float32
features_v1_ext.parquet,exp_std,float32
features_v1_ext.parquet,adj_close,float32
features_v1_ext.parquet,volume,Int64
features_v1_ext.parquet,DGS10,float64
features_v1_ext.parquet,FEDFUNDS,float64
features_v1_ext.parquet,VIXCLS,float64
